,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
330,0.9524405063953512,0.499551918586816,0.08315078874672188,0.3781784328292287,0.7519841331604976,0.2032356988559983,0.23122907874532642,0.07101605442572384
441,0.7323830577496304,0.7630602684241069,0.00883374783596134,0.43156249018652604,0.9035783403565038,0.3056234324730985,0.2661714556885653,0.7146533160427894
541,0.9844150487023474,0.2074590068352931,0.2244247035111951,0.33752684446564857,0.6808019860423714,0.2997172105245839,0.2592581203734294,0.8533511407137729
610,0.9194712458432399,0.5360134072347024,0.09267354670566978,0.38492355338086487,0.7501815847966656,0.29405727014869104,0.4774710857319693,0.9259276634005978
479,0.5806632937686833,0.02478754530900911,0.09190348897065129,0.860185279333899,0.9670564232086533,0.5563240333832374,0.11512306422411209,0.9526254623032059
342,0.738681356167822,0.8079763458081111,0.0787547341976345,0.37646369114414746,0.6324924250600479,0.401713243049683,0.04662786068677675,0.5659944673930755
585,0.8288233921919484,0.3205351831092445,0.46512209081018635,0.5643693162458008,0.956478159138539,0.9895997882767584,0.04948262019484174,0.07564114056399332
542,0.8902456384501092,0.0770766143145429,0.5186766049990853,0.5462885459950154,0.8447037151449334,0.482862366404507,0.03578940658911743,0.8076933312563532
53,0.9414394948912238,0.7719228299183724,0.2068050360566962,0.34611186085537904,0.9844122445101594,0.5312226159544688,0.2556093407719062,0.8740411508195398
386,0.7848330251131796,0.5325346652689981,0.18787750367949851,0.5831089974703918,0.8686417593790973,0.7986402012734111,0.03432684233063409,0.7056354595649696
70,0.7014402424850923,0.7264472247108285,0.003715492013746798,0.5600075898709848,0.9677044351553014,0.7372430896685848,0.13836512723348032,0.6490000824459731
355,0.8712536409396491,0.5209126444661584,0.39066840289364047,0.4598081734175441,0.6145366872040264,0.8811999099009001,0.1469536860468484,0.9832155421897654
415,0.8925028967817965,0.7114289757745716,0.2549309901865415,0.33545210182118124,0.6399614339042772,0.6474223127558654,0.019839141757359985,0.07586981957605039
477,0.7925347704065543,0.7161582703855897,0.3004825802353885,0.44724882211055655,0.9214916233950893,0.5858134020517468,0.18290729100060749,0.9942084656701663
438,0.8161693736039254,0.7004563667457315,0.056031344763324206,0.4433728860027184,0.7343317874971734,0.8724734228177214,0.4721095417840757,0.9422397268410768
343,0.7833249877247229,0.2171874490758333,0.012551453261339477,0.6663026148421142,0.611028214583907,0.9089995642223946,0.31747477066599616,0.9991847853605622
31,0.913923098686245,0.7031213928652081,0.1570233262663378,0.44009963505799354,0.8056333115883445,0.9770883667503084,0.0494230034756123,0.010657734810454957
412,0.6778345709551509,0.8354999324302513,0.029084627990615414,0.3756845481243387,0.7867261486508201,0.5153285081125802,0.2005990338520099,0.27904761739282097
440,0.9386413125542222,0.03063131659733617,0.09983659508916604,0.4369536166554803,0.8473912399184949,0.25364371805320485,0.35135012509845653,0.17273859283880955
439,0.7528309740841488,0.7601342951368979,0.14010459766287367,0.42878191986206454,0.9334041007393312,0.05506070892359921,0.22218546042472573,0.018207335831521024
77,0.9411716154403776,0.42564928253795814,0.06209023015371118,0.4516407919789459,0.7846354126205616,0.4619819354727218,0.1008585884279915,0.2725918727655714
338,0.7820611059108623,0.35145473248537107,0.08438805329516769,0.6306968349583914,0.6773318449026742,0.400878480707581,0.009895911252824227,0.740539369236845
280,0.9066876154307709,0.46892237905549355,0.35187877422126773,0.4605194056138892,0.7798564839443591,0.6269349493580278,0.35812314814277735,0.8677565898351582
331,0.9893470232086259,0.32249340514759633,0.21476225037175947,0.3468414003771949,0.3902574718841313,0.4805992981769285,0.015603820260927994,0.9613048172619033
165,0.7591746879205576,0.7319763859280257,0.3294782820907798,0.43984004984220665,0.7443133194221953,0.8597656687613439,0.06859166236307512,0.35358733645654944
